1481611017,1,[k,2],3
1481615163,2,[,2],4
1481619088,3,[7,9],2
1481623009,4,[5,4],3
1481624918,5,[6,8],2
1481625835,6,[9,5],1
1481627327,7,[8,4],4
1481631742,8,[4,6],2
1481635648,9,[5,2],1
1481638524,10,[8,5],1
1481639202,11,[7,4],4
1481642079,12,[9,3],2
1481645362,13,[2,4],3
1481645457,14,[7,9],2
1481648517,15,[4,3],1
1481650533,16,[3,5],4
1481653156,17,[8,8],4
1481657556,18,[9,1],2
1481659632,19,[3,1],2
1481662784,20,[8,8],3
1481667128,21,[7,3],2
1481670384,22,[3,7],2
1481671576,23,[5,8],2
1481674332,24,[7,3],1
1481676880,25,[1,6],4
1481678066,26,[3,1],3
1481680765,27,[4,9],1
1481681429,28,[9,2],1
1481683936,29,[8,2],2
1481684925,30,[5,8],2
1481685578,31,[2,1],2
1481687563,32,[1,5],3
1481688130,33,[5,2],3
1481692403,34,[6,8],3
1481692815,35,[2,2],1
1481694872,36,[2,4],3
1481694946,37,[2,6],3
1481695608,38,[j,6],1
1481700105,39,[5,3],3
1481701613,40,[6,7],1
1481704282,41,[1,4],1
1481708016,42,[2,4],2
1481710588,43,[1,4],1
1481711227,44,[1,8],1
1481711867,45,[8,2],1
1481712145,46,[5,5],1
1481712752,47,[6,1],2
1481715147,48,[,],2
1481719494,49,[6,9],2
1481722419,50,[6,8],3
1481723844,51,[8,2],2
1481727892,52,[5,6],4
1481727929,53,[7,1],1
1481732137,54,[5,4],2
1481732503,55,[8,1],2
1481734587,56,[3,4],1
1481738144,57,[3,1],3
1481742001,58,[3,9],2
1481743802,59,[2,2],2
1481744959,60,[8,4],4
1481747367,61,[5,8],2
1481750027,62,[8,9],4
1481752468,63,[6,5],3
1481752671,64,[9,5],3
1481754621,65,[8,2],2
1481754899,66,[3,5],1
1481754917,67,[5,6],4
1481755857,68,[8,2],1
1481759365,69,[7,5],1
1481761483,70,[7,9],3
1481762065,71,[2,1],4
1481762350,72,[3,4],3
1481765182,73,[3,8],2
1481765478,74,[5,9],4
1481766867,75,[6,1],1
1481770678,76,[3,8],2
1481771241,77,[7,1],3
1481772651,78,[3,1],4
1481773261,79,[4,2],2
1481777047,80,[7,1],3
1481777907,81,[2,3],4
1481779456,82,[7,5],4
1481782208,83,[6,8],2
1481786663,84,[7,3],3
1481789155,85,[4,1],3
1481790297,86,[6,8],3
1481790642,87,[8,4],3
1481794116,88,[3,4],2
1481794439,89,[2,5],1
1481797140,90,[3,3],4
1481799022,91,[5,3],4
1481799669,92,[2,3],4
1481803526,93,[1,2],3
1481807926,94,[3,8],3
1481808135,95,[5,2],4
1481811453,96,[1,3],4
1481814917,97,[7,6],4
1481818277,98,[5,2],4
1481820901,99,[3,3],4
1481822107,100,[4,8],2
1481823528,101,[2,8],2
